lei,figi,ticker,mic_code,exchange,permid,company_name,country,sector,industry,year_of_disclosure,reporting_period,metric,level,type,scope,emissions_categories,value,unit,method,incomplete_boundaries,source_names,company_id,traceability_source_url,document_id
INR2EJN1ERAN0W5ZP974,BBG000BPHFS9,MSFT,XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET),4295907168,Microsoft Corp,United States,Technology,Software - Infrastructure,2022,2019,Total Scope 1,Total,Absolute,"[""Scope 1""]",Not Applicable,117956,Metric Tonnes of CO2 equivalent (mtCO2e),Not Applicable,Not Specified,"[""SDG Report 2022""]",e569e893-5513-4648-9188-213be5e20c12,https://tracenable.com/source-trace?data-request-id-hash=gEt_wgjm6J9O&project=ghg-emissions,39739583-b156-4c78-a07c-a4e1b6d24701
INR2EJN1ERAN0W5ZP974,BBG000BPHFS9,MSFT,XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET),4295907168,Microsoft Corp,United States,Technology,Software - Infrastructure,2022,2019,Total Scope 2,Total,Absolute,"[""Scope 2""]",Not Applicable,275420,Metric Tonnes of CO2 equivalent (mtCO2e),Market-based,Not Specified,"[""SDG Report 2022""]",e569e893-5513-4648-9188-213be5e20c12,https://tracenable.com/source-trace?data-request-id-hash=A13ldBeZzNyR&project=ghg-emissions,39739583-b156-4c78-a07c-a4e1b6d24701
INR2EJN1ERAN0W5ZP974,BBG000BPHFS9,MSFT,XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET),4295907168,Microsoft Corp,United States,Technology,Software - Infrastructure,2020,2019,Total Scope 2,Total,Absolute,"[""Scope 2""]",Not Applicable,3557518,Metric Tonnes of CO2 equivalent (mtCO2e),Location-based,Not Specified,"[""Sustainability Report 2020""]",e569e893-5513-4648-9188-213be5e20c12,https://tracenable.com/source-trace?data-request-id-hash=A13ldBeZzNyR&project=ghg-emissions,f8c7963c-c978-43ea-8ee2-ffba68fd9da0
INR2EJN1ERAN0W5ZP974,BBG000BPHFS9,MSFT,XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET),4295907168,Microsoft Corp,United States,Technology,Software - Infrastructure,2020,2019,Total Scope 3,Total,Absolute,"[""Scope 3""]",Not Applicable,11837357,Metric Tonnes of CO2 equivalent (mtCO2e),Location-based,Not Specified,"[""Sustainability Report 2020""]",e569e893-5513-4648-9188-213be5e20c12,https://tracenable.com/source-trace?data-request-id-hash=nPA8_DPjsjIa&project=ghg-emissions,f8c7963c-c978-43ea-8ee2-ffba68fd9da0
INR2EJN1ERAN0W5ZP974,BBG000BPHFS9,MSFT,XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET),4295907168,Microsoft Corp,United States,Technology,Software - Infrastructure,2020,2019,Categories of Scope 3,Categories,Absolute,"[""Scope 3""]","[""Scope 3 - Capital Goods (Cat. 2)""]",2180000,Metric Tonnes of CO2 equivalent (mtCO2e),Not Specified,Not Specified,"[""Sustainability Report 2020""]",e569e893-5513-4648-9188-213be5e20c12,https://tracenable.com/source-trace?data-request-id-hash=YnOxyLKxlHOT&project=ghg-emissions,f8c7963c-c978-43ea-8ee2-ffba68fd9da0
INR2EJN1ERAN0W5ZP974,BBG000BPHFS9,MSFT,XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET),4295907168,Microsoft Corp,United States,Technology,Software - Infrastructure,2020,2019,Categories of Scope 3,Categories,Absolute,"[""Scope 3""]","[""Scope 3 - Use of Sold Products (Cat. 11)""]",3753000,Metric Tonnes of CO2 equivalent (mtCO2e),Not Specified,Not Specified,"[""Sustainability Report 2020""]",e569e893-5513-4648-9188-213be5e20c12,https://tracenable.com/source-trace?data-request-id-hash=YnOxyLKxlHOT&project=ghg-emissions,f8c7963c-c978-43ea-8ee2-ffba68fd9da0
INR2EJN1ERAN0W5ZP974,BBG000BPHFS9,MSFT,XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET),4295907168,Microsoft Corp,United States,Technology,Software - Infrastructure,2020,2019,Categories of Scope 3,Categories,Absolute,"[""Scope 3""]","[""Scope 3 - Business Travel (Cat. 6)""]",476457,Metric Tonnes of CO2 equivalent (mtCO2e),Not Specified,Not Specified,"[""Sustainability Report 2020""]",e569e893-5513-4648-9188-213be5e20c12,https://tracenable.com/source-trace?data-request-id-hash=YnOxyLKxlHOT&project=ghg-emissions,f8c7963c-c978-43ea-8ee2-ffba68fd9da0
INR2EJN1ERAN0W5ZP974,BBG000BPHFS9,MSFT,XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET),4295907168,Microsoft Corp,United States,Technology,Software - Infrastructure,2020,2019,Categories of Scope 3,Categories,Absolute,"[""Scope 3""]","[""Scope 3 - Upstream Transportation and Distribution (Cat. 4)""]",100000,Metric Tonnes of CO2 equivalent (mtCO2e),Not Specified,Not Specified,"[""Sustainability Report 2020""]",e569e893-5513-4648-9188-213be5e20c12,https://tracenable.com/source-trace?data-request-id-hash=YnOxyLKxlHOT&project=ghg-emissions,f8c7963c-c978-43ea-8ee2-ffba68fd9da0
INR2EJN1ERAN0W5ZP974,BBG000BPHFS9,MSFT,XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET),4295907168,Microsoft Corp,United States,Technology,Software - Infrastructure,2020,2019,Categories of Scope 3,Categories,Absolute,"[""Scope 3""]","[""Scope 3 - Fuel- and Energy-Related Services (Cat. 3)""]",650000,Metric Tonnes of CO2 equivalent (mtCO2e),Location-based,Not Specified,"[""Sustainability Report 2020""]",e569e893-5513-4648-9188-213be5e20c12,https://tracenable.com/source-trace?data-request-id-hash=YnOxyLKxlHOT&project=ghg-emissions,f8c7963c-c978-43ea-8ee2-ffba68fd9da0
INR2EJN1ERAN0W5ZP974,BBG000BPHFS9,MSFT,XNGS,NASDAQ/NGS (GLOBAL SELECT MARKET),4295907168,Microsoft Corp,United States,Technology,Software - Infrastructure,2020,2019,Categories of Scope 3,Categories,Absolute,"[""Scope 3""]","[""Scope 3 - Downstream Leased Assets (Cat. 13)""]",800,Metric Tonnes of CO2 equivalent (mtCO2e),Not Specified,Not Specified,"[""Sustainability Report 2020""]",e569e893-5513-4648-9188-213be5e20c12,https://tracenable.com/source-trace?data-request-id-hash=YnOxyLKxlHOT&project=ghg-emissions,f8c7963c-c978-43ea-8ee2-ffba68fd9da0
